Variable,Key,,,,,,,,,,,
Cv,Crassostrea Virginica,,,,,,,,,,,
CHO,Carbohydrate (mJ/mg),,,,,,,,,,,
LIP,Lipid (mJ/mg),,,,,,,,,,,
PRT,Protein (mJ/mg),,,,,,,,,,,
Ea,Energy available to the animal (sum of CHO+LIP+PRT) (mJ/mg),,,,,,,,,,,
Ec,Energy consumed by the animal (mJ/mg),,,,,,,,,,,
CEA,Cellular energy allocation (Ea/Ec),,,,,,,,,,,
Shell width,Measured from shell hinge to the furthest opposite point on the mantle (mm),,,,,,,,,,,
[Fiber 1],1 fiber/ 1 mL seawater,,,,,,,,,,,
[Fiber 2],10 fibers/ 1 mL seawater,,,,,,,,,,,
Baseline,Measurements taken before experiment began,,,,,,,,,,,
Control,Oysters in regular UV filtered seawater (i.e. no fibers or PCBs),,,,,,,,,,,
PCB,Polychlorinated biphenyl (a persistant organic pollutant found within the marine environment) ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
