Species,Tank (replicate #),Treatment,Fiber concentration,Animal ID #,CHO mj/mg,LiP mj/mg,PRT mj/mg,Ea mj/mg,Ec mj/mg ,CEA mj/mg/min,Shell width (mm),,,Treatment a,Fiber concentration a,Initial no.s ,End of expt. mortality ,,Treatment b,Fiber concentration b,Time,Algal cell concentration
Cv,,Baseline,0,18,108.4,983.5,1115,2206.9,6.581,335.3441726,45.2,,,[Fiber 1],1,30,1,,[Fiber 1],1,0,506340
Cv,,Baseline,0,19,139.3,386.6,918,1443.9,4.889,295.3364696,46.3,,,[Fiber 2],10,30,0,,[Fiber 1],1,30,326812
Cv,,Baseline,0,20,79.3,892.2,965,1936.5,8.333,232.3892956,47.5,,,[Fiber 1] + PCB,1,30,6,,[Fiber 1],1,60,313648
Cv,,Baseline,0,21,134.3,858,1185,2177.3,5.297,411.0439872,49.2,,,[Fiber 2] + PCB,10,30,7,,[Fiber 1],1,90,233548
Cv,,Baseline,0,22,116.95,355.6,593,1065.55,3.75,284.1466667,45,,,Control ,0,30,0,,[Fiber 2],10,0,502136
Cv,,Baseline,0,23,89.8,590,986,1665.8,8.96,185.9151786,48.3,,,,,,,,[Fiber 2],10,30,406462
Cv,,Baseline,0,24,109.5,305.05,522,936.55,4.963,188.7064276,45.5,,,,,,,,[Fiber 2],10,60,336542
Cv,,Baseline,0,25,93,420,923.5,1436.5,8.057,178.2921683,46.7,,,,,,,,[Fiber 2],10,90,180364
Cv,1,[Fiber 1],1,44,85,1375,918.1,2378.1,7.498,317.1645772,53.6,,,,,,,,[Fiber 1] + PCB,1,0,552136
Cv,1,[Fiber 1],1,112,59,1029,612.26,1700.26,7.59,224.0131752,56.8,,,,,,,,[Fiber 1] + PCB,1,30,346462
Cv,2,[Fiber 1],1,231,89,858.36,916,1863.36,8.63,215.9165701,57.1,,,,,,,,[Fiber 1] + PCB,1,60,226542
Cv,2,[Fiber 1],1,280,141.15,681,864,1686.15,7.68,369.564546,54.3,,,,,,,,[Fiber 1] + PCB,1,90,240364
Cv,3,[Fiber 1],1,294,48,458,500.3,1006.3,5.835,192.6565654,53.8,,,,,,,,[Fiber 2] + PCB,10,0,572166
Cv,3,[Fiber 1],1,300,100.5,1260.5,877,2238,5.986,373.8723689,56.9,,,,,,,,[Fiber 2] + PCB,10,30,366462
Cv,4,[Fiber 1],1,362,69,306.25,763,1138.25,6.02,189.0780731,56.3,,,,,,,,[Fiber 2] + PCB,10,60,196542
Cv,4,[Fiber 1],1,444,133.4,558,728,1419.4,7.299,194.4649952,49.2,,,,,,,,[Fiber 2] + PCB,10,90,200364
Cv,5,[Fiber 2],10,81,86.3,412,708.3,1206.6,4.057,297.4118807,55.8,,,,,,,,Control,0,0,572166
Cv,5,[Fiber 2],10,90,69.3,389.5,785.3,1244.1,9.89,125.793731,55.3,,,,,,,,Control,0,30,456462
Cv,6,[Fiber 2],10,197,130,386,659,1175,10.66,110.2251407,54.7,,,,,,,,Control,0,60,196542
Cv,6,[Fiber 2],10,237,89,465,714.3,1268.3,2.79,256.565461,54.3,,,,,,,,Control,0,90,140364
Cv,7,[Fiber 2],10,285,58,332,568.2,958.2,8.21,116.7113276,53.9,,,,,,,,,,,
Cv,7,[Fiber 2],10,290,106,426.8,814,1346.8,4.046,332.8719723,54.8,,,,,,,,,,,
Cv,8,[Fiber 2],10,296,86,494.2,726,1306.2,5.69,229.5606327,55.3,,,,,,,,,,,
Cv,8,[Fiber 2],10,479,71,369.2,598,1038.2,9.56,108.5983264,54.6,,,,,,,,,,,
Cv,9,[Fiber 1] + PCB,1,83,72,458,758,1288,9.13,141.0733844,52.3,,,,,,,,,,,
Cv,9,[Fiber 1] + PCB,1,114,94.89,474.934,695,1264.824,6.297,200.8613626,53.6,,,,,,,,,,,
Cv,10,[Fiber 1] + PCB,1,160,102,501,993.5,1596.5,5.31,406.351465,54.6,,,,,,,,,,,
Cv,10,[Fiber 1] + PCB,1,168,136,532,1028.11,1696.11,6.395,265.2243941,53,,,,,,,,,,,
Cv,11,[Fiber 1] + PCB,1,320,86.67,543,1198,1827.67,7.22,253.1398892,56,,,,,,,,,,,
Cv,11,[Fiber 1] + PCB,1,380,132.5,591,971.7,1695.84,7.124,238.0460415,58,,,,,,,,,,,
Cv,12,[Fiber 1] + PCB,1,381,128.3,576,940.5,1644.8,4.368,376.5567766,54.6,,,,,,,,,,,
Cv,12,[Fiber 1] + PCB,1,382,104.27,846,1056.1,2006.37,10.268,195.4002727,55,,,,,,,,,,,
Cv,13,[Fiber 2] + PCB,10,107,58.3,353.2,482,893.5,8.69,102.8193326,47,,,,,,,,,,,
